University_ID,University_Name,State,Official_Website,Established_Year,Recognition,Accreditation,NIRF_Rank,Courses,Popular_Courses,Departments,Eligibility,Tuition_Fee,Admission_Fee,Examination_Fee,Other_Fees,Placement_Cell,Placement_Policy,Placement_Rate,Average_Package,Highest_Package,Lowest_Package,Recruiters,Placement_Eligibility,Internship,Internship_Policy,Transport_Available,Transport_Fee,Transport_Routes,Transport_Timing,Library_Available,Library_Facilities,Library_Books,Digital_Library,E_Resources,Library_Timing,Hostel_Available,Boys_Hostel,Girls_Hostel,Hostel_Fee,Mess_Fee,Hostel_Timing,Hostel_Leave_Rules,Hostel_Discipline_Rules,Sports_Available,Sports_Facilities,Indoor_Sports,Outdoor_Sports,Gym,Exam_System,Attendance_Rule,Internal_Marks,External_Marks,Passing_Criteria,Re_Exam_Rule,Supplementary_Exam,Backlog_Rule,Scholarship,Counselling,Student_Clubs,Student_Support,Student_Feedback,Teaching_Rating,Placement_Rating,Hostel_Rating,Transport_Rating,Library_Rating,Sports_Rating,Overall_Rating
UNI011,Dharamsinh Desai University,Gujarat,http://www.ddu.ac.in/,1989,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI012,University of Health Sciences Andhra Pradesh,Andhra Pradesh,http://ntruhs.ap.nic.in/,Not Available,Not Available,Not Available,Not Available,"Medical: MBBS, BDS, MD, B.Sc Nursing","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI013,"Allahabad Agricultural Institute, Deemed University",,http://www.aaidu.org/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI014,Assam Agricultural University,Assam,http://www.aau.ac.in/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI015,Ahmedabad University,Gujarat,http://www.ahduni.edu.in/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI016,All India Institute of Medical Sciences,,http://www.aiims.ac.in/,Not Available,Not Available,Not Available,Not Available,"Medical: MBBS, BDS, MD, B.Sc Nursing","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI017,AISECT University,,http://www.aisectuniversity.ac.in/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI018,Alagappa University,Tamil Nadu,http://www.alagappauniversity.ac.in/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI019,Allahabad University,Uttar Pradesh,http://www.alldunivpio.org/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI020,Open International University for Alternative Medicines,,http://www.altmeduniversity.com/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI021,Indian Board of Alternative Medicine,West Bengal,http://www.altmedworld.net/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI022,Amity University,Uttar Pradesh,http://www.amity.edu/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI023,Amrita Vishwa Vidyapeetham,Tamil Nadu,http://www.amrita.edu/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI024,Amravati University,,http://www.amtuni.com/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI025,Aligarh Muslim University,Uttar Pradesh,http://www.amu.ac.in/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI026,Andhra University,Andhra Pradesh,http://www.andhrauniversity.info/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNI027,Acharya Ranga Agricultural University,,http://www.angrau.net/,Not Available,Not Available,Not Available,Not Available,"Engineering: CSE, Mechanical | Management: MBA, BBA | Science: B.Sc, M.Sc","B.Tech CSE, MBA Finance, B.Sc","Computer Science, Mechanical Engineering, Civil Engineering, Management Studies, Applied Sciences","Minimum 60% aggregate in 10+2 (Physics, Chemistry, Mathematics/Biology)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
